Day , Month , Year , Hour , Data , Event 
Sunday, May 20, 2018,3:35 PM,1.3573 , Normal
Sunday, May 20, 2018,3:35 PM,0.5635 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5341 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5488 , Normal
Sunday, May 20, 2018,3:35 PM,0.6076 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5733 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.6076 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5635 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5243 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6223 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5341 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5537 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.4802 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5439 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5145 , Normal
Sunday, May 20, 2018,3:35 PM,0.5145 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5439 , Normal
Sunday, May 20, 2018,3:35 PM,0.6076 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5684 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.6076 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5684 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5341 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5194 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5341 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5488 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.4802 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.6027 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5537 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5194 , Normal
Sunday, May 20, 2018,3:35 PM,0.5145 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6223 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5390 , Normal
Sunday, May 20, 2018,3:35 PM,0.6027 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5635 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5390 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.5145 , Normal
Sunday, May 20, 2018,3:35 PM,0.5194 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5341 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6223 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5488 , Normal
Sunday, May 20, 2018,3:35 PM,0.6125 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5782 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.6076 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6419 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.6027 , Normal
Sunday, May 20, 2018,3:35 PM,0.6419 , Normal
Sunday, May 20, 2018,3:35 PM,0.5684 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6419 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5145 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6321 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5292 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6272 , Normal
Sunday, May 20, 2018,3:35 PM,0.5047 , Normal
Sunday, May 20, 2018,3:35 PM,0.5390 , Normal
Sunday, May 20, 2018,3:35 PM,0.6027 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4949 , Normal
Sunday, May 20, 2018,3:35 PM,0.5586 , Normal
Sunday, May 20, 2018,3:35 PM,0.6223 , Normal
Sunday, May 20, 2018,3:35 PM,0.6174 , Normal
Sunday, May 20, 2018,3:35 PM,0.4851 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
Sunday, May 20, 2018,3:35 PM,0.6027 , Normal
Sunday, May 20, 2018,3:35 PM,0.4900 , Normal
Sunday, May 20, 2018,3:35 PM,0.5978 , Normal
Sunday, May 20, 2018,3:35 PM,0.6419 , Normal
Sunday, May 20, 2018,3:35 PM,0.5831 , Normal
Sunday, May 20, 2018,3:35 PM,0.4998 , Normal
Sunday, May 20, 2018,3:35 PM,0.5929 , Normal
Sunday, May 20, 2018,3:35 PM,0.6419 , Normal
Sunday, May 20, 2018,3:35 PM,0.5488 , Normal
Sunday, May 20, 2018,3:35 PM,0.5096 , Normal
Sunday, May 20, 2018,3:35 PM,0.5880 , Normal
Sunday, May 20, 2018,3:35 PM,0.6370 , Normal
